FIPS,Name,Area,Pop_2000,Pop_2010
51099,King George County,180,16803,23584
51101,King William County,274,13146,15935
51103,Lancaster County,133,11567,11391
51105,Lee County,436,23589,25587
51107,Loudoun County,516,169599,312311
51109,Louisa County,496,25627,33153
51111,Lunenburg County,432,13146,12914
51113,Madison County,321,12520,13308
51115,Mathews County,86,9207,8978
51117,Mecklenburg County,625,32380,32727
51119,Middlesex County,130,9932,10959
51121,Montgomery County,387,83629,94392
51125,Nelson County,471,14445,15020
51127,New Kent County,210,13462,18429
51131,Northampton County,212,13093,12389
51133,Northumberland County,191,12259,12330
51135,Nottoway County,314,15725,15853
51137,Orange County,341,25881,33481
51139,Page County,311,23177,24042
51141,Patrick County,483,19407,18490
51143,Pittsylvania County,969,61745,63506
51145,Powhatan County,260,22377,28046
51147,Prince Edward County,350,19720,23368
51149,Prince George County,265,33047,35725
51153,Prince William County,336,280813,402002
51155,Pulaski County,320,35127,34872
51157,Rappahannock County,266,6983,7373
51159,Richmond County,191,8809,9254
51161,Roanoke County,251,85778,92376
51163,Rockbridge County,598,20808,22307
51165,Rockingham County,849,67725,76314
51167,Russell County,474,30308,28897
51169,Scott County,536,23403,23177
51171,Shenandoah County,509,35075,41993
51173,Smyth County,451,33081,32208
51175,Southampton County,599,17482,18570
51177,Spotsylvania County,402,90395,122397
51179,Stafford County,269,92446,128961
51181,Surry County,279,6829,7058
51183,Sussex County,490,12504,12087
51185,Tazewell County,519,44598,45078
51187,Warren County,213,31584,37575
51191,Washington County,561,51103,54876
51193,Westmoreland County,229,16718,17454
51195,Wise County,403,40123,41452
51197,Wythe County,462,27599,29235
51199,York County,105,56297,65464
51510,Alexandria city,15,128283,139966
51515,Bedford city,7,6299,6222
51520,Bristol city,13,17367,17835
51530,Buena Vista city,7,6349,6650
51540,Charlottesville city,10,45049,43475
51550,Chesapeake city,341,199184,222209
51570,Colonial Heights city,8,16897,17411
51580,Covington city,5,6303,5961
51590,Danville city,43,48411,43055
51595,Emporia city,7,5665,5927
51600,Fairfax city,6,21498,22565
51610,Falls Church city,2,10377,12332
51620,Franklin city,8,8346,8582
51630,Fredericksburg city,10,19279,24286
51640,Galax city,8,6837,7042
51650,Hampton city,51,146437,137436
51660,Harrisonburg city,17,40468,48914
51670,Hopewell city,10,22354,22591
51678,Lexington city,3,6867,7042
51680,Lynchburg city,49,65269,75568
51683,Manassas city,10,35135,37821
51685,Manassas Park city,3,10290,14273
51690,Martinsville city,11,15416,13821
51700,Newport News city,69,180150,180719
51710,Norfolk city,54,234403,242803
51720,Norton city,7,3904,3958
51730,Petersburg city,23,33740,32420
51735,Poquoson city,15,11566,12150
51740,Portsmouth city,34,100565,95535
51750,Radford city,10,15859,16408
51760,Richmond city,60,197790,204214
51770,Roanoke city,43,94911,97032
51775,Salem city,14,24747,24802
51790,Staunton city,20,23853,23746
51800,Suffolk city,400,63677,84585
51810,Virginia Beach city,249,425257,437994
51820,Waynesboro city,15,19520,21006
51830,Williamsburg city,9,11998,14068
51840,Winchester city,9,23585,26203
53001,Adams County,1925,16428,18728
53003,Asotin County,636,20551,21623
53005,Benton County,1700,142475,175177
53007,Chelan County,2921,66616,72453
53009,Clallam County,1738,64525,71404
53011,Clark County,629,345238,425363
53013,Columbia County,869,4064,4078
53015,Cowlitz County,1140,92948,102410
53017,Douglas County,1819,32603,38431
53019,Ferry County,2203,7260,7551
53021,Franklin County,1242,49347,78163
53023,Garfield County,711,2397,2266
53025,Grant County,2680,74698,89120
53027,Grays Harbor County,1902,67194,72797
53029,Island County,208,71558,78506
53031,Jefferson County,1804,25953,29872
53033,King County,2116,1737034,1931249
53035,Kitsap County,395,231969,251133
53037,Kittitas County,2297,33362,40915
53039,Klickitat County,1871,19161,20318
53041,Lewis County,2403,68600,75455
53043,Lincoln County,2310,10184,10570
53045,Mason County,959,49405,60699
53047,Okanogan County,5268,39564,41120
53049,Pacific County,933,20984,20920
53051,Pend Oreille County,1400,11732,13001
53053,Pierce County,1670,700820,795225
53055,San Juan County,174,14077,15769
53057,Skagit County,1731,102979,116901
53059,Skamania County,1656,9872,11066
53061,Snohomish County,2087,606024,713335
53063,Spokane County,1764,417939,471221
53065,Stevens County,2478,40066,43531
53067,Thurston County,722,207355,252264
53069,Wahkiakum County,263,3824,3978
53071,Walla Walla County,1270,55180,58781
53073,Whatcom County,2107,166814,201140
53075,Whitman County,2159,40740,44776
53077,Yakima County,4295,222581,243231
54001,Barbour County,341,15557,16589
54003,Berkeley County,321,75905,104169
54005,Boone County,502,25535,24629
